sku,title,brand,category,product_url,price,image,in_stock,e_retailer,client,market,type,position,listing_url,page
B3-475742,"Pampers Harmonie Größe 3, 6kg - 10kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-noname/B3-475742.html,5.62,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/475742_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,13,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377437,"Pampers Baby-Dry Größe 4+, 10-15kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-4plus-10-15kg-einzelpack/B3-377437.html,7.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377437_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,14,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377542,"Pampers Baby-Dry Größe 7, 15kg+",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-7-15pluskg-einzelpack/B3-377542.html,7.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377542_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,15,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-379244,"Pampers Baby-Dry Größe 3, 6-10kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-3-6-10kg-giga-pack/B3-379244.html,22.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/379244_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,16,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-923351,"Pampers Premium Protection Pants,  Größe 5, 12-17kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-pants-gr.-5-12-17kg-value-pack/B3-923351.html,9.37,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/923351_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,17,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-281339,HiPP Babysanft Windeln Junior Gr. 5 12-17 kg,HiPP,babykind-windelnwickeln-windeln,https://www.bipa.at/hipp-babysanft-windeln-junior-gr.-5-12-17-kg/B3-281339.html,6.74,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/original/281339.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,18,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-492384,"Pampers Harmonie Größe 3, 6-10kg,  Monatsbox",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-groesse-3--6-10kg--montasbox/B3-492384.html,48.74,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/492384_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,19,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-475741,"Pampers Harmonie Größe 2, 4kg - 8kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-noname/B3-475741.html,5.24,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/475741_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,20,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377526,"Pampers Baby-Dry Größe 6, 13-18kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-6-13-18kg-einzelpack/B3-377526.html,7.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377526_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,21,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-492385,"Pampers Harmonie Größe 4, 9-14kg,  Monatsbox",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-groesse-4--9-14kg--montasbox/B3-492385.html,50.24,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/492385_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,22,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-403097,HiPP Babysanft Windeln Extra Large Gr.6 15+kg Jumbo Pack,HiPP,babykind-windelnwickeln-windeln,https://www.bipa.at/hipp-babysanft-windeln-extra-large-gr.6-15pluskg-jumbo-pack/B3-403097.html,11.99,,True,bipa.at,client_name,AT,Search,23,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-475379,LILLYDOO Windeln Gr. 3 6-10 Kg,LILLYDOO,babykind-windelnwickeln-windeln,https://www.bipa.at/lillydoo-windeln-gr.-3-6-10-kg/B3-475379.html,7.49,,True,bipa.at,client_name,AT,Search,24,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-492387,"Pampers Harmonie Größe 5, 11-16kg,  Monatsbox",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-groesse-5--11pluskg--montasbox/B3-492387.html,46.49,,True,bipa.at,client_name,AT,Search,25,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-514979,"Hello Mom Windeln Größe 4, 7-18kg",Hello Mom,babykind-windelnwickeln-windeln,https://www.bipa.at/hello-mom-windeln-groesse-4--7-18kg/B3-514979.html,5.24,,True,bipa.at,client_name,AT,Search,26,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-510762,LILLYDOO Green Windeln Gr. 1,LILLYDOO,babykind-windelnwickeln-windeln,https://www.bipa.at/lillydoo-green-windeln-gr.-1/B3-510762.html,8.24,,True,bipa.at,client_name,AT,Search,27,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-471688,tommee tippee Nachfüllkassetten 6 ER,tommee tippee,babykind-windelnwickeln-windeln,https://www.bipa.at/tommee-tippee-nachfuellkassetten-6-er/B3-471688.html,32.24,,True,bipa.at,client_name,AT,Search,28,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-510764,LILLYDOO Green Windeln Gr. 2,LILLYDOO,babykind-windelnwickeln-windeln,https://www.bipa.at/lillydoo-green-windeln-gr.-2/B3-510764.html,8.24,,True,bipa.at,client_name,AT,Search,29,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-518891,LILLYDOO Pants Gr.5 12-17kg,LILLYDOO,babykind-windelnwickeln-windeln,https://www.bipa.at/lillydoo-pants-gr.5-12-17kg/B3-518891.html,8.99,,True,bipa.at,client_name,AT,Search,30,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-518888,LILLYDOO Pants Gr.4 9-15kg,LILLYDOO,babykind-windelnwickeln-windeln,https://www.bipa.at/lillydoo-pants-gr.4-9-15kg/B3-518888.html,8.99,,True,bipa.at,client_name,AT,Search,31,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-514993,"Hello Mom Monatsbox Größe 4, 7-18 kg",Hello Mom,babykind-windelnwickeln-windeln,https://www.bipa.at/hello-mom-monatsbox-groesse-4--7-18-kg/B3-514993.html,22.49,,True,bipa.at,client_name,AT,Search,32,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-514994,"Hello Mom Monatsbox Windeln Größe 5, 12-25kg",Hello Mom,babykind-windelnwickeln-windeln,https://www.bipa.at/hello-mom-monatsbox-windeln-groesse-5--12-25kg/B3-514994.html,22.49,,True,bipa.at,client_name,AT,Search,33,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-514977,"Hello Mom Windeln Größe 2, 3-6kg",Hello Mom,babykind-windelnwickeln-windeln,https://www.bipa.at/hello-mom-windeln-groesse-2--3-6kg/B3-514977.html,5.24,,True,bipa.at,client_name,AT,Search,34,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-514975,"Hello Mom Windeln Größe 1, 2-4 kg",Hello Mom,babykind-windelnwickeln-windeln,https://www.bipa.at/hello-mom-windeln-groesse-1--2-4-kg/B3-514975.html,5.24,,True,bipa.at,client_name,AT,Search,35,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-514982,"Hello Mom Monatsbox Windeln Größe 2, 3-6 kg",Hello Mom,babykind-windelnwickeln-windeln,https://www.bipa.at/hello-mom-monatsbox-windeln-groesse-2--3-6-kg/B3-514982.html,22.49,,True,bipa.at,client_name,AT,Search,36,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
