sku,title,brand,product_url,description,old_price,price,main_image,in_stock,category,rating,reviews,e_retailer,client,market,type,position,listing_url
p-124639,ORAL-B PRO 1 700 Cross Action,ORAL B,https://www.mediaworld.it/product/p-124639/oral-b-pro-1-700-cross-action,          Alimentazione: Ricaricabile - Numero testine: 1 Oscillazioni al minuto: 8800 - Pulsazioni al minuto: 20000 Tecnologia pulizia denti: Rotatoria oscillante e pulsante - Timer,,30.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/12/46/124639_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,12,https://www.mediaworld.it/search/spazzolino%20elettrico
p-984959,ORAL-B Smart 4 4100S Cross Action,ORAL B,https://www.mediaworld.it/product/p-984959/oral-b-smart-4-4100s-cross-action,          Spazzolino - Tecnologia rotatoria oscillante - Pressione getto regolabile 3 Modalità di Spazzolamento - 2 Testine,,89.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/98/49/984959_thumb.jpg,True,Spazzolino elettrico,5.0000,(11),mediaworld.it,P&G,IT,Search,13,https://www.mediaworld.it/search/spazzolino%20elettrico
p-681730,ORAL-B Pro 600 Green,ORAL B,https://www.mediaworld.it/product/p-681730/oral-b-pro-600-green,          Spazzolino ricaricabile - Pulizia tridimensionale Funzione Daily Clean e sensore di pressione 1 Testina: 1 CrossAction - Colore: Green ,,31.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/68/17/681730_thumb.jpg,True,spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,14,https://www.mediaworld.it/search/spazzolino%20elettrico
p-138922,ORAL-B iO Series 8 White Alabaster,ORAL B iO,https://www.mediaworld.it/product/p-138922/oral-b-io-series-8-white-alabaster,          6 Velocità - 6 Modalità di spazzolamento Tecnologia della pulizia denti: Micropulsazioni Batteria: Litio - Display Interattivo Tecnologia iO - Sensore di pressione dello spazzolamento smart - Custodia da viaggio,,170.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/13/89/138922_thumb.jpg,True,Spazzolino elettrico,5.0000,(10),mediaworld.it,P&G,IT,Search,15,https://www.mediaworld.it/search/spazzolino%20elettrico
p-712645,PHILIPS Sonicare HX3212/03,PHILIPS,https://www.mediaworld.it/product/p-712645/philips-sonicare-hx3212-03,          Spazzolino elettrico ricaricabile - Tecnologia sonica Timer - 31.000 movimenti/min - 1 Testina - Azione Philips Sonicare,,24.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/71/26/712645_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,16,https://www.mediaworld.it/search/spazzolino%20elettrico
p-122572,PHILIPS HX6857/17,PHILIPS,https://www.mediaworld.it/product/p-122572/philips-hx6857-17,          3 Modalità di spazzolamento - Tecnologia sonica Funzione BrushSync - Indicatore di stato della batteria - Timer - Feedback sulla pressione esercitata - Custodia da viaggio,,105.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/12/25/122572_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,17,https://www.mediaworld.it/search/spazzolino%20elettrico
p-983081,ORAL-B Teen Bianco,ORAL B,https://www.mediaworld.it/product/p-983081/oral-b-teen-bianco,          Spazzolino elettrico - Alimentazione: Rete + ricaricabile Oscillazioni al minuto: 7600 Tecnologia pulizia denti: Rotatoria oscillante - Timer,,39.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/98/30/983081_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,18,https://www.mediaworld.it/search/spazzolino%20elettrico
p-124641,ORAL-B PRO1 700 3D White,ORAL B,https://www.mediaworld.it/product/p-124641/oral-b-pro1-700-3d-white,          Alimentazione: Ricaricabile - Numero testine: 1 Oscillazioni al minuto: 8800 - Pulsazioni al minuto: 20000 Tecnologia pulizia denti: Rotatoria oscillante e pulsante - Timer: S&igrave,,29.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/12/46/124641_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,19,https://www.mediaworld.it/search/spazzolino%20elettrico
p-704328,PHILIPS Sonicare HX6231/01,PHILIPS,https://www.mediaworld.it/product/p-704328/philips-sonicare-hx6231-01,          Spazzolino elettrico - Ricaricabile Numero testine: 1 - Velocità: 14 Oscillazioni al minuto: 31.000 - Timer Tecnologia pulizia denti Sonica ,,38.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/70/43/704328_thumb.jpg,True,spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,20,https://www.mediaworld.it/search/spazzolino%20elettrico
p-102550,ORAL-B Vitality 100 Cross Action Rosa,ORAL B,https://www.mediaworld.it/product/p-102550/oral-b-vitality-100-cross-action-rosa,"          Spazzolino elettrico&nbsp,Ricaricabile 1 Testina - 1&nbsp,Velocit&agrave, - Timer Oscillazioni al minuto: 7600 Tecnologia pulizia denti Rotatoria e oscillante",,24.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/10/25/102550_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,21,https://www.mediaworld.it/search/spazzolino%20elettrico
